ID_CURSO,ID_SEXO,ID_RACA,ID_TURNO,IN_ACAO_AFIRMATIVA,IN_APOIO_SOCIAL,IN_APOIO_ALIMENTACAO,IN_APOIO_MORADIA,IN_APOIO_TRANSPORTE,IN_APOIO_MATERIAL_DIDATICO,IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_BOLSA_TRABALHO,TOTAL_ALUNOS,RECEBE_AUXILIO,IDPNA,TOTAL_IDPNA
13398,2,0,3,0,1,0,0,0,0,1,0,2,1,0,0
13398,1,1,1,1,0,0,0,0,0,0,0,93,0,1,93
13398,2,3,1,1,1,0,0,0,0,1,0,5,1,0,0
13398,1,2,3,1,0,0,0,0,0,0,0,9,0,1,9
13398,1,1,1,0,1,0,0,0,0,1,0,7,1,0,0
13398,1,3,1,1,1,0,0,0,0,1,0,5,1,0,0
13398,1,0,1,0,1,0,0,0,0,1,0,4,1,0,0
13398,2,3,3,0,1,0,0,0,0,1,0,2,1,0,0
13398,1,1,3,1,1,0,0,0,0,1,0,2,1,0,0
13398,1,3,1,1,1,1,0,0,0,0,0,7,1,0,0
13398,1,3,3,0,0,0,0,0,0,0,0,23,0,0,0
13398,1,1,3,0,1,0,0,0,0,1,0,7,1,0,0
13399,2,1,4,1,0,0,0,0,0,0,0,25,0,1,25
13399,2,1,4,0,0,0,0,0,0,0,0,22,0,0,0
13399,2,1,4,0,1,0,0,0,0,1,0,2,1,0,0
13399,1,1,4,1,1,1,0,0,0,0,0,4,1,0,0
13399,1,4,4,0,0,0,0,0,0,0,0,4,0,0,0
13399,1,1,4,0,1,0,0,0,0,0,1,2,1,0,0
13399,1,3,4,1,1,1,0,0,0,0,0,7,1,0,0
13399,2,3,4,0,1,1,0,0,0,1,0,2,1,0,0
13399,2,3,4,0,1,0,0,0,0,1,0,2,1,0,0
13399,2,2,3,0,0,0,0,0,0,0,0,2,0,0,0
13399,2,3,4,0,0,0,0,0,0,0,0,13,0,0,0
13399,1,1,4,1,1,0,0,0,0,1,0,3,1,0,0
13399,1,3,3,1,0,0,0,0,0,0,0,2,0,1,2
13399,2,2,4,1,1,0,1,0,0,0,0,2,1,0,0
13399,2,3,4,1,1,1,0,0,0,0,0,6,1,0,0
13399,1,0,4,1,0,0,0,0,0,0,0,8,0,1,8
13399,1,3,4,0,1,0,0,0,0,0,1,3,1,0,0
13399,2,0,4,1,0,0,0,0,0,0,0,7,0,1,7
13399,2,1,4,0,1,1,0,0,0,0,0,2,1,0,0
13399,2,3,4,1,0,0,0,0,0,0,0,38,0,1,38
13399,1,0,4,0,0,0,0,0,0,0,0,6,0,0,0
13399,2,2,4,0,0,0,0,0,0,0,0,7,0,0,0
13399,1,3,4,0,1,1,0,0,0,0,0,1,1,0,0
13399,2,3,4,1,1,0,0,0,0,0,1,2,1,0,0
13399,1,2,4,0,0,0,0,0,0,0,0,5,0,0,0
13399,2,3,3,0,0,0,0,0,0,0,0,4,0,0,0
13399,1,3,4,0,0,0,0,0,0,0,0,20,0,0,0
13399,1,1,4,0,0,0,0,0,0,0,0,24,0,0,0
13399,1,3,4,1,1,0,0,0,0,1,0,5,1,0,0
13399,1,3,4,0,1,0,0,0,0,1,0,5,1,0,0
13399,1,3,4,1,1,1,1,0,0,0,0,2,1,0,0
13399,2,1,4,1,1,1,0,0,0,0,0,5,1,0,0
13399,2,2,4,1,0,0,0,0,0,0,0,6,0,1,6
13399,2,4,4,1,0,0,0,0,0,0,0,2,0,1,2
13399,2,2,4,1,1,1,0,0,0,0,0,2,1,0,0
13399,1,1,4,0,1,1,0,0,0,0,0,2,1,0,0
13399,1,0,4,0,1,0,0,0,0,0,1,2,1,0,0
13399,1,1,4,0,1,0,0,0,0,1,0,2,1,0,0
13399,1,1,4,1,0,0,0,0,0,0,0,27,0,1,27
13399,1,2,4,1,0,0,0,0,0,0,0,8,0,1,8
13399,1,3,4,1,0,0,0,0,0,0,0,63,0,1,63
13399,1,3,4,1,1,0,0,0,0,0,1,3,1,0,0
13399,2,0,4,1,1,0,0,0,0,1,0,2,1,0,0
13399,2,3,3,1,0,0,0,0,0,0,0,3,0,1,3
13400,2,0,3,1,0,0,0,0,0,0,0,7,0,1,7
13400,1,2,3,1,0,0,0,0,0,0,0,2,0,1,2
13400,2,3,3,0,0,0,0,0,0,0,0,25,0,0,0
13400,2,2,3,1,0,0,0,0,0,0,0,4,0,1,4
13400,2,0,3,0,0,0,0,0,0,0,0,6,0,0,0
13400,2,1,3,0,0,0,0,0,0,0,0,15,0,0,0
13400,2,3,3,1,0,0,0,0,0,0,0,51,0,1,51
13400,1,3,3,1,0,0,0,0,0,0,0,11,0,1,11
13400,2,4,3,0,0,0,0,0,0,0,0,2,0,0,0
13400,1,0,3,1,0,0,0,0,0,0,0,2,0,1,2
13400,2,2,3,0,0,0,0,0,0,0,0,4,0,0,0
13400,1,1,3,1,0,0,0,0,0,0,0,7,0,1,7
13400,1,1,3,0,0,0,0,0,0,0,0,4,0,0,0
13400,2,3,3,1,1,1,0,0,0,0,0,8,1,0,0
13400,2,1,3,1,0,0,0,0,0,0,0,30,0,1,30
13400,1,3,3,1,1,1,1,0,0,0,0,2,1,0,0
13400,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0
13401,2,3,4,0,1,1,0,0,0,0,0,6,1,0,0
13401,1,1,4,0,1,0,0,0,0,0,1,3,1,0,0
13401,1,3,4,1,0,0,0,0,0,0,0,12,0,1,12
13401,2,0,4,1,1,1,0,0,0,0,0,5,1,0,0
13401,2,1,4,1,1,1,0,0,0,0,0,6,1,0,0
13401,2,1,4,0,1,1,0,0,0,0,0,2,1,0,0
13401,1,1,4,0,1,1,0,0,0,0,0,4,1,0,0
13401,1,1,4,1,1,1,0,0,0,0,0,3,1,0,0
13401,2,1,4,0,0,0,0,0,0,0,0,96,0,0,0
13401,2,3,4,0,1,0,0,0,0,0,1,3,1,0,0
13401,2,1,4,0,1,0,0,0,0,1,0,3,1,0,0
