CO_CURSO;TP_SEXO;TP_COR_RACA;TP_TURNO;IN_ACAO_AFIRMATIVA;ID_AUXILIO;QT_BENEFICIARIOS
1313290;1;2;4.0;1;1;2
1313290;1;3;4.0;1;1;3
1313290;2;3;4.0;1;1;2
1313290;1;2;4.0;1;1;2
1313291;2;3;4.0;1;1;2
1313291;2;1;4.0;1;1;2
1313291;2;1;4.0;0;1;2
1315863;2;3;4.0;1;1;2
1315863;1;1;4.0;0;1;3
1315863;1;2;4.0;1;1;2
1315863;2;3;4.0;0;1;2
1315863;1;3;4.0;1;1;2
1315863;1;3;4.0;1;1;4
1315863;1;1;4.0;1;1;3
1594433;2;2;4.0;1;1;2
1595700;1;2;3.0;1;1;2
1595700;1;1;3.0;1;1;2
1595700;1;3;3.0;0;1;2
5001241;1;3;3.0;1;1;3
5001241;1;1;3.0;1;1;4
14091;1;3;4.0;0;4;3
14091;1;3;4.0;1;4;2
14092;1;3;4.0;1;4;4
14092;2;3;4.0;1;4;4
14093;1;1;4.0;1;4;2
14093;1;3;4.0;1;4;8
14093;2;3;4.0;1;4;9
14093;2;3;4.0;1;4;2
14094;1;3;4.0;1;4;8
14094;1;1;4.0;1;4;2
14094;2;2;4.0;1;4;2
14094;1;2;4.0;1;4;2
14096;1;3;4.0;1;4;3
14096;2;1;4.0;1;4;3
14097;1;3;4.0;0;4;2
14097;2;1;4.0;0;4;2
14097;2;3;4.0;1;4;7
14097;1;3;4.0;1;4;3
14097;2;2;4.0;1;4;2
14097;2;2;4.0;0;4;2
14097;1;1;4.0;1;4;2
14097;2;1;4.0;1;4;2
14098;2;3;4.0;1;4;4
14099;2;3;4.0;1;4;4
14099;2;2;4.0;1;4;2
14100;2;2;4.0;1;4;2
14102;2;3;3.0;1;4;2
14106;2;1;1.0;1;4;3
14106;2;3;1.0;1;4;3
14108;2;3;1.0;1;4;2
14109;2;1;1.0;1;4;2
14110;1;1;1.0;1;4;3
14123;1;3;2.0;1;4;2
14136;1;1;3.0;1;4;2
18952;2;2;4.0;1;4;2
18952;2;3;4.0;1;4;2
18953;1;3;2.0;1;4;3
20809;2;3;4.0;1;4;2
20809;1;2;4.0;1;4;2
21989;1;2;2.0;1;4;2
21990;2;3;1.0;1;4;3
21992;1;3;1.0;1;4;2
27673;2;3;3.0;1;4;2
27673;1;3;3.0;1;4;2
27673;2;3;3.0;0;4;2
27673;1;2;3.0;1;4;2
27673;1;3;3.0;1;4;5
27673;2;1;3.0;1;4;2
27673;1;1;3.0;1;4;2
39903;2;3;1.0;1;4;2
44485;1;3;2.0;1;4;2
74345;1;3;4.0;1;4;2
74345;1;2;4.0;1;4;2
74345;2;3;4.0;1;4;2
74345;2;2;4.0;1;4;2
80638;2;3;3.0;1;4;3
80638;2;2;1.0;1;4;2
90202;2;1;3.0;1;4;2
121570;2;3;3.0;1;4;3
121932;1;2;3.0;1;4;2
121932;1;1;3.0;1;4;2
121932;1;3;3.0;0;4;2
121932;1;3;3.0;1;4;2
121934;2;3;3.0;1;4;2
122584;1;3;4.0;1;4;2
123425;1;2;4.0;1;4;2
123425;1;1;4.0;0;4;2
123425;2;2;4.0;1;4;3
123496;2;3;4.0;1;4;2
123496;1;2;4.0;1;4;2
123860;2;3;4.0;1;4;3
314089;1;3;4.0;1;4;2
314089;2;3;4.0;1;4;2
314112;1;2;1.0;1;4;2
1084192;1;1;4.0;0;4;2
1084192;1;3;4.0;1;4;2
1113007;2;1;3.0;1;4;2
1113011;2;3;2.0;1;4;2
1120209;1;3;3.0;1;4;2
1135935;1;3;4.0;1;4;3
1135939;1;1;2.0;0;4;2
1135939;1;3;2.0;1;4;3
1151198;2;2;1.0;1;4;2
1188875;1;3;2.0;1;4;4
1188878;2;1;4.0;1;4;2
1188878;1;1;4.0;0;4;2
1188878;1;3;4.0;1;4;3
1293028;2;5;4.0;0;4;6
1300254;1;3;4.0;1;4;2
1313290;1;3;4.0;0;4;2
1313290;1;3;4.0;1;4;3
1313290;2;3;4.0;1;4;2
1315863;2;3;4.0;1;4;2
1315863;1;1;4.0;0;4;3
1315863;2;3;4.0;0;4;2
1315863;1;3;4.0;1;4;4
1315863;1;1;4.0;1;4;3
1495673;1;3;4.0;1;4;2
1595472;1;3;4.0;1;4;2
14091;1;3;4.0;1;3;3
14091;1;2;4.0;1;3;3
14091;2;3;4.0;1;3;3
14092;1;2;4.0;1;3;2
14092;2;1;4.0;1;3;2
14092;1;3;4.0;1;3;5
14092;2;3;4.0;1;3;4
14092;1;1;4.0;1;3;3
14092;2;3;4.0;0;3;2
14093;2;2;4.0;1;3;2
14093;2;3;4.0;1;3;3
14093;1;3;4.0;1;3;4
14093;2;1;4.0;1;3;4
14093;1;2;4.0;1;3;3
14094;1;1;4.0;1;3;8
14094;2;1;4.0;1;3;2
14094;1;2;4.0;1;3;6
14094;1;3;4.0;1;3;2
14095;1;3;1.0;1;3;2
14095;1;2;4.0;1;3;4
14095;1;3;1.0;1;3;2
14095;1;1;4.0;1;3;4
14095;1;3;4.0;1;3;3
14096;2;3;4.0;1;3;2
14096;1;1;4.0;0;3;2
14096;1;3;4.0;1;3;3
14097;1;3;4.0;0;3;2
14097;1;2;4.0;1;3;4
14097;1;3;4.0;1;3;11
14097;2;1;4.0;1;3;2
14097;2;2;4.0;1;3;2
14097;2;3;4.0;1;3;6
14097;1;1;4.0;0;3;2
14097;1;1;4.0;1;3;2
14097;1;1;4.0;1;3;4
14098;2;3;4.0;1;3;3
14099;2;3;4.0;1;3;4
14099;2;1;4.0;1;3;4
14099;1;3;4.0;1;3;4
14100;2;3;4.0;1;3;5
14100;1;3;4.0;1;3;4
14102;1;3;1.0;1;3;2
14102;1;3;3.0;1;3;2
14104;1;2;1.0;1;3;2
14105;1;3;1.0;1;3;2
14106;2;1;1.0;1;3;2
14106;1;3;1.0;1;3;3
14108;2;3;1.0;1;3;2
14108;1;1;1.0;1;3;2
14109;1;3;3.0;1;3;4
14109;2;3;1.0;1;3;5
14110;2;3;1.0;1;3;2
14123;1;3;2.0;1;3;2
14136;1;3;3.0;1;3;3
14136;1;3;3.0;1;3;2
18952;2;3;4.0;1;3;2
18953;1;3;2.0;1;3;3
20809;1;3;4.0;1;3;4
20809;1;1;4.0;1;3;2
20809;1;2;4.0;0;3;2
21989;1;1;2.0;1;3;3
21990;1;1;1.0;0;3;2
21990;2;3;1.0;0;3;2
21990;1;3;1.0;1;3;3
21990;2;1;1.0;1;3;2
21992;1;3;3.0;1;3;4
21992;1;2;1.0;1;3;2
21992;1;3;1.0;1;3;7
21992;1;1;1.0;1;3;3
27673;1;3;3.0;1;3;2
27673;2;3;3.0;1;3;2
27673;1;1;3.0;1;3;2
27673;2;2;3.0;1;3;2
27673;1;1;3.0;1;3;3
27673;1;1;3.0;1;3;2
27673;1;3;3.0;1;3;4
39903;1;3;1.0;1;3;2
39903;2;3;1.0;1;3;2
44485;1;3;2.0;1;3;5
44485;2;3;2.0;1;3;2
44485;1;3;1.0;1;3;3
44485;2;1;1.0;0;3;2
44485;1;3;2.0;0;3;2
44485;1;2;1.0;1;3;5
74345;1;3;4.0;1;3;3
74345;1;1;4.0;1;3;2
80638;1;3;3.0;1;3;2
86444;1;3;1.0;1;3;3
86446;1;3;1.0;1;3;3
86447;1;3;2.0;1;3;2
90042;2;3;4.0;1;3;2
90042;1;1;4.0;1;3;2
90047;1;1;3.0;1;3;2
90047;2;3;3.0;1;3;3
90202;1;3;1.0;1;3;2
90202;1;3;1.0;1;3;3
90202;1;2;3.0;1;3;2
90202;1;3;3.0;1;3;2
121481;2;3;4.0;1;3;3
121570;1;3;3.0;1;3;4
121932;1;1;3.0;0;3;2
121932;2;3;3.0;1;3;2
121932;1;2;3.0;1;3;3
121932;1;1;3.0;1;3;3
121932;1;3;3.0;1;3;4
121932;1;3;3.0;1;3;4
122584;1;3;4.0;1;3;3
122584;2;3;4.0;1;3;2
122843;2;3;4.0;1;3;3
123425;1;2;4.0;1;3;2
123496;2;1;4.0;1;3;2
123496;1;3;4.0;1;3;2
123496;1;1;4.0;0;3;2
123496;1;1;4.0;1;3;2
123860;2;3;4.0;1;3;2
123860;2;1;4.0;1;3;3
123860;1;3;4.0;1;3;2
314089;1;3;4.0;1;3;2
314089;2;1;4.0;1;3;3
314118;1;1;4.0;1;3;2
314118;1;3;4.0;1;3;2
314118;1;1;4.0;0;3;3
1084192;1;1;4.0;1;3;2
1084192;1;3;4.0;1;3;2
1111225;1;1;4.0;0;3;2
1113007;1;3;3.0;1;3;3
1113044;2;2;4.0;1;3;2
1120209;1;3;3.0;1;3;2
1131697;2;3;3.0;1;3;2
1135935;1;2;4.0;1;3;3
1135935;1;1;4.0;1;3;3
1135939;2;3;2.0;1;3;3
1151198;1;1;1.0;1;3;4
1151198;2;1;1.0;1;3;2
1151198;1;2;1.0;1;3;2
1151198;2;2;1.0;0;3;2
1152529;2;3;1.0;1;3;3
1178874;1;3;1.0;1;3;2
1178874;1;3;4.0;1;3;2
1188874;1;3;1.0;1;3;2
1188875;2;3;2.0;1;3;2
1188878;1;3;4.0;1;3;2
1188897;2;1;4.0;0;3;2
1293028;2;2;4.0;0;3;2
1293028;2;5;4.0;0;3;4
1293028;1;3;4.0;0;3;5
1300254;1;3;4.0;1;3;2
1304557;2;3;2.0;1;3;2
1313290;1;2;4.0;1;3;2
1313291;2;3;4.0;1;3;2
1313291;2;1;4.0;0;3;2
1314314;1;2;3.0;1;3;2
1315863;1;2;4.0;1;3;2
1595700;1;2;3.0;1;3;2
1595700;1;3;3.0;0;3;2
5001241;1;3;3.0;1;3;3
5001241;1;1;3.0;1;3;4
14091;2;5;4.0;1;2;3
14091;1;2;4.0;1;2;4
14092;1;3;4.0;1;2;5
14092;1;2;4.0;1;2;4
14092;1;5;4.0;1;2;6
14093;2;3;4.0;1;2;3
14093;2;3;4.0;1;2;2
14093;2;5;4.0;1;2;2
14094;2;5;4.0;1;2;4
14094;1;2;4.0;1;2;2
14094;2;2;4.0;1;2;4
14094;1;5;4.0;1;2;3
14095;1;2;1.0;1;2;4
14095;1;3;1.0;1;2;2
14095;2;5;4.0;1;2;2
14095;1;3;4.0;1;2;3
14096;1;3;4.0;1;2;2
14096;1;5;4.0;1;2;2
14097;1;2;4.0;1;2;3
14097;2;2;4.0;1;2;4
14097;1;3;4.0;1;2;5
14097;1;5;4.0;1;2;2
14097;1;1;4.0;1;2;2
14097;1;2;4.0;0;2;2
14098;2;3;4.0;1;2;3
14099;2;5;4.0;1;2;2
14099;2;3;4.0;1;2;2
14100;2;3;4.0;1;2;3
14102;2;5;1.0;1;2;2
14102;1;2;1.0;1;2;2
14104;1;3;1.0;1;2;3
14106;2;5;1.0;1;2;2
14109;2;5;3.0;1;2;2
14109;1;5;1.0;1;2;2
14109;1;3;1.0;1;2;3
14109;1;2;1.0;1;2;3
14109;2;5;1.0;1;2;2
14123;2;5;1.0;1;2;2
14136;1;3;3.0;1;2;3
14136;1;2;3.0;1;2;3
18952;2;3;4.0;1;2;2
18952;2;5;3.0;1;2;2
18953;1;3;2.0;1;2;2
18953;2;5;2.0;1;2;2
20809;1;3;4.0;1;2;2
21990;1;5;1.0;1;2;3
21992;1;2;3.0;1;2;4
21992;1;3;1.0;1;2;2
21992;1;2;1.0;1;2;2
21992;1;3;3.0;1;2;3
21992;1;5;1.0;1;2;2
27673;2;1;3.0;1;2;2
27673;1;1;3.0;1;2;2
27673;2;3;3.0;1;2;2
44485;1;2;1.0;1;2;3
44485;1;2;2.0;1;2;3
44485;1;3;2.0;1;2;4
74345;2;3;4.0;1;2;2
74345;1;2;4.0;1;2;4
74345;1;2;4.0;1;2;2
80638;1;2;3.0;1;2;2
90042;1;5;4.0;1;2;3
90042;1;2;4.0;1;2;2
90047;2;3;3.0;1;2;2
90047;2;5;3.0;1;2;4
90047;1;3;3.0;1;2;2
90047;1;5;3.0;1;2;2
90047;2;2;3.0;1;2;5
90202;1;3;1.0;1;2;2
90202;2;2;3.0;1;2;3
90202;2;2;1.0;1;2;2
117438;2;5;4.0;0;2;23
117438;1;5;4.0;0;2;5
117438;2;5;4.0;1;2;25
117438;1;5;4.0;1;2;8
118004;2;5;4.0;0;2;59
118004;1;5;4.0;0;2;9
118005;1;5;4.0;0;2;15
118005;2;5;4.0;0;2;35
118006;1;5;4.0;0;2;16
118006;2;5;4.0;0;2;68
121570;1;2;3.0;1;2;2
121570;2;3;3.0;1;2;2
121932;1;2;3.0;1;2;2
121932;1;2;3.0;1;2;2
121932;1;3;3.0;1;2;3
122584;1;2;4.0;1;2;2
122584;2;2;4.0;1;2;2
122584;2;3;4.0;1;2;2
123425;1;2;4.0;1;2;3
123496;1;3;4.0;1;2;3
123496;2;3;4.0;1;2;3
314089;1;3;4.0;1;2;2
314112;1;5;3.0;1;2;2
314112;1;3;3.0;1;2;3
